loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.758347473144531,0.38071703910827637,0.00018040000000000002,0.1,50,,,,,,,,,
2.6889794921875,0.34224933385849,0.00016040000000000002,0.2,100,,,,,,,,,
2.689905090332031,0.3843233585357666,0.0001404,0.3,150,,,,,,,,,
2.7194448852539064,0.34145587682724,0.0001204,0.4,200,,,,,,,,,
2.7035592651367186,0.3312264382839203,0.0001004,0.5,250,,,,,,,,,
2.6927606201171876,0.35366639494895935,8.04e-05,0.6,300,,,,,,,,,
2.690950622558594,0.33353251218795776,6.04e-05,0.7,350,,,,,,,,,
2.7051336669921877,0.3913741409778595,4.0400000000000006e-05,0.8,400,,,,,,,,,
2.6931411743164064,0.36706632375717163,2.04e-05,0.9,450,,,,,,,,,
2.7078091430664064,0.3253433406352997,4.0000000000000003e-07,1.0,500,,,,,,,,,
,,,1.0,500,2.685546875,449.7592,4.447,1.112,,,,,
,,,1.0,500,,,,,6065.9888,1.319,0.082,4.9911586357248e+16,2.705003143310547
