loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6934304809570313,5.025450229644775,4.835e-05,0.1,100,,,,,,,,,,,
0.6365069580078125,3.4434115886688232,4.6683333333333334e-05,0.2,200,,,,,,,,,,,
0.5620962142944336,8.268633842468262,4.5016666666666665e-05,0.3,300,,,,,,,,,,,
0.3898484420776367,4.786905765533447,4.335e-05,0.4,400,,,,,,,,,,,
0.34290592193603514,9.742059707641602,4.1683333333333335e-05,0.5,500,,,,,,,,,,,
0.32234298706054687,4.511293888092041,4.0016666666666666e-05,0.6,600,,,,,,,,,,,
0.33877685546875,6.966738700866699,3.8350000000000004e-05,0.7,700,,,,,,,,,,,
0.3173994255065918,3.924955129623413,3.6683333333333335e-05,0.8,800,,,,,,,,,,,
0.29875988006591797,1.5410410165786743,3.501666666666667e-05,0.9,900,,,,,,,,,,,
0.2753982353210449,9.092084884643555,3.3350000000000004e-05,1.0,1000,,,,,,,,,,,
,,,1.0,1000,0.29956385493278503,0.8975,0.8974790122382671,78.9758,25.324,3.166,,,,,
0.2667695426940918,0.34636157751083374,3.1683333333333335e-05,1.1,1100,,,,,,,,,,,
0.30112380981445314,14.695963859558105,3.001666666666667e-05,1.2,1200,,,,,,,,,,,
0.30923343658447267,1.4454717636108398,2.8349999999999998e-05,1.3,1300,,,,,,,,,,,
0.26065835952758787,1.4349925518035889,2.6683333333333333e-05,1.4,1400,,,,,,,,,,,
0.26112071990966795,4.139406681060791,2.5016666666666667e-05,1.5,1500,,,,,,,,,,,
0.28128561019897463,0.742531418800354,2.3350000000000002e-05,1.6,1600,,,,,,,,,,,
0.29173477172851564,9.109776496887207,2.1683333333333333e-05,1.7,1700,,,,,,,,,,,
0.29754573822021485,13.200100898742676,2.0016666666666668e-05,1.8,1800,,,,,,,,,,,
0.27634056091308595,9.827116012573242,1.8350000000000002e-05,1.9,1900,,,,,,,,,,,
0.26920419692993164,11.622228622436523,1.6683333333333333e-05,2.0,2000,,,,,,,,,,,
,,,2.0,2000,0.2805750370025635,0.9045,0.9044873113326872,79.3257,25.212,3.152,,,,,
0.2412737464904785,12.492480278015137,1.5016666666666668e-05,2.1,2100,,,,,,,,,,,
0.2823235321044922,21.46220588684082,1.3350000000000001e-05,2.2,2200,,,,,,,,,,,
0.2651295280456543,7.715537071228027,1.1683333333333334e-05,2.3,2300,,,,,,,,,,,
0.2570886993408203,11.512091636657715,1.0016666666666667e-05,2.4,2400,,,,,,,,,,,
0.2471526527404785,6.072600841522217,8.350000000000001e-06,2.5,2500,,,,,,,,,,,
0.27893346786499024,0.5989760160446167,6.6833333333333334e-06,2.6,2600,,,,,,,,,,,
0.24221254348754884,12.264514923095703,5.016666666666666e-06,2.7,2700,,,,,,,,,,,
0.23761768341064454,2.037823438644409,3.3500000000000005e-06,2.8,2800,,,,,,,,,,,
0.25127696990966797,11.549617767333984,1.6833333333333332e-06,2.9,2900,,,,,,,,,,,
0.22607189178466797,1.8386001586914062,1.6666666666666667e-08,3.0,3000,,,,,,,,,,,
,,,3.0,3000,0.2863607704639435,0.9075,0.9074877099295662,79.8436,25.049,3.131,,,,,
,,,3.0,3000,,,,,,,2295.7292,10.454,1.307,6358265266176000.0,0.31738542874654135
,,,3.0,3000,0.28317397832870483,0.9041,0.904114971522411,371.9982,26.882,3.36,,,,,
